Burj Khalifa,United Arab Emirates,Dubai
Tokyo Skytree,Japan,Tokyo
Shanghai Tower,China,Shanghai
Abraj Al Bait Towers,Saudi Arabia,Mecca
Canton Tower,China,Guangzhou
CN Tower,Canada,Toronto
One World Trade Center,United States,New York City
Ostankino Tower,Russia,Moscow
CTF Finance Centre,China,Guangzhou
Willis Tower,United States,Chicago
World Trade Center,United States,New York City
Taipei 101,Taiwan,Taipei
Shanghai World Financial Center,China,Shanghai
International Commerce Centre,Hong Kong
Oriental Pearl Tower,China,Shanghai
John Hancock Center,United States,Chicago
Petronas Tower 1,Malaysia,Kuala Lumpur
Petronas Tower 2,Malaysia,Kuala Lumpur
Greenland Square Zifeng Tower,China,Nanjing
Empire State Building,United States,New York City
KK100,China,Shenzhen
Guangzhou West Tower,China,Guangzhou
Milad Tower,Iran,Tehran
Marina 101,UAE,Dubai
432 Park Avenue,United States,New York City
Trump International Hotel and Tower,United States,Chicago
Jin Mao Tower,China,Shanghai
Kuala Lumpur Tower,Malaysia,Kuala Lumpur
Ekibastuz GRES-2 Power Station,Kazakhstan,Ekibastusz
Two World Trade Center,United States,New York City
Tianjin Radio and Television Tower,China,Tianjin
Al Hamra Tower,Kuwait,Kuwait City
Two International Finance Centre,Hong Kong
Central Radio and TV Tower,China,Beijing
CITIC Plaza,China,Guangzhou
Zhongyuan Tower,China,Zhengzhou
Kiev TV Tower,Ukraine,Kiev
Shun Hing Square,China,Shenzhen
Inco Superstack,Canada,Sudbury
Tuntex Sky Tower,Taiwan,Kaohsiung
Emirates Park Towers,United Arab Emirates,Dubai
Tashkent Tower,Uzbekistan,Tashkent
Central Plaza,Hong Kong
Liberation Tower,Kuwait,Kuwait City
Almaty Tower,Kazakhstan,Alma-Ata
Homer City Generating Station,Homer City,Pennsylvania,United States
Kennecott Smokestack,Garfield,Utah,United States
Beryozovskaya GRES,Russia
Riga Radio and TV Tower,Latvia,Riga
Berliner Fernsehturm,Germany,Berlin
Bank of China Tower,Hong Kong
Bank of America Tower,United States,New York City
Trbovlje Chimney Power station,Slovenia,Trbovlje
Almas Tower,United Arab Emirates,Dubai
